ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10232466,HY420190,09/12/2015 08:00:00 AM,064XX N MAGNOLIA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2432,024,40,1,11,1166763,1942946,2015,09/24/2015 07:50:13 PM,41.999013245,-87.661879406,"(41.999013245, -87.661879406)"
10232467,HY418865,09/11/2015 08:00:00 AM,008XX W BELLE PLAINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1915,019,46,3,08B,1169990,1927784,2015,02/10/2018 03:50:01 PM,41.95733831,-87.650452933,"(41.95733831, -87.650452933)"
10232468,HY420211,09/11/2015 07:45:00 PM,002XX W ILLINOIS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,false,false,1831,018,42,8,11,1174547,1903565,2015,02/10/2018 03:50:01 PM,41.890779537,-87.634425828,"(41.890779537, -87.634425828)"
10232469,HY420239,09/11/2015 03:30:00 PM,032XX N HALSTED ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,1924,019,44,6,26,1170359,1921612,2015,02/10/2018 03:50:01 PM,41.940394038,-87.649277478,"(41.940394038, -87.649277478)"
11230474,JB151737,01/03/2017 12:00:00 PM,098XX S AVENUE H,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0432,004,10,52,11,,,2017,02/15/2018 03:50:23 PM,,,
10232470,HY419291,09/11/2015 01:50:00 PM,047XX N CLARENDON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1914,019,46,3,06,1170058,1931679,2015,02/10/2018 03:50:01 PM,41.968024822,-87.650088766,"(41.968024822, -87.650088766)"
10232471,HY420220,09/11/2015 09:07:00 PM,055XX S WOODLAWN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,false,false,0235,002,5,41,11,1185165,1868610,2015,02/10/2018 03:50:01 PM,41.794617111,-87.596533202,"(41.794617111, -87.596533202)"
10232472,HY418941,09/10/2015 04:00:00 PM,003XX W 83RD ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,0622,006,21,44,06,1175379,1849909,2015,02/10/2018 03:50:01 PM,41.743524001,-87.632976399,"(41.743524001, -87.632976399)"
11033040,JA365661,03/22/2012 12:01:00 AM,005XX W 14TH PL,1120,DECEPTIVE PRACTICE,FORGERY,BANK,false,false,0124,001,2,28,10,,,2012,07/29/2017 03:52:50 PM,,,
10232474,HY420273,09/11/2015 05:30:00 PM,072XX W WELLINGTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2511,025,36,17,07,1127480,1919165,2015,09/24/2015 07:50:13 PM,41.934509955,-87.806929897,"(41.934509955, -87.806929897)"
10232475,HY420282,08/26/2015 12:01:00 AM,080XX S DOBSON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,0631,006,8,44,11,1184622,1851863,2015,02/10/2018 03:50:01 PM,41.748674558,-87.599048654,"(41.748674558, -87.599048654)"
10232477,HY420256,09/12/2015 03:00:00 AM,020XX N HALSTED ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1812,018,43,7,06,1170624,1913751,2015,02/10/2018 03:50:01 PM,41.918817288,-87.648534275,"(41.918817288, -87.648534275)"
10232478,HY420316,09/11/2015 02:50:00 PM,113XX S ELIZABETH ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,2234,022,34,75,06,1170029,1829373,2015,09/24/2015 07:50:13 PM,41.687287934,-87.653173552,"(41.687287934, -87.653173552)"
10232479,HY420180,09/04/2015 09:30:00 AM,028XX W DEVON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,2413,024,50,2,06,1156278,1942331,2015,02/10/2018 03:50:01 PM,41.997544797,-87.700467444,"(41.997544797, -87.700467444)"
11230640,JB152083,12/04/2017 12:00:00 AM,035XX S MICHIGAN AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,GOVERNMENT BUILDING/PROPERTY,true,false,0213,002,3,35,26,,,2017,04/12/2018 03:55:17 PM,,,
10232480,HY420272,08/17/2015 12:01:00 AM,0000X W TERMINAL ST,0810,THEFT,OVER $500,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,true,false,1653,016,41,76,06,1101811,1934419,2015,02/10/2018 03:50:01 PM,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
10232481,HY416604,09/09/2015 12:16:00 PM,074XX S COLFAX AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,false,true,0334,003,7,43,26,1194666,1856110,2015,09/17/2015 11:37:18 AM,41.760087548,-87.562104969,"(41.760087548, -87.562104969)"
10232483,HY420197,09/11/2015 09:30:00 PM,069XX S EAST END AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0332,003,5,43,05,1188977,1859267,2015,02/10/2018 03:50:01 PM,41.768888693,-87.582853909,"(41.768888693, -87.582853909)"
10083339,HY271838,05/23/2015 01:30:00 AM,015XX S ALBANY AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1022,010,24,29,06,1155957,1892498,2015,02/10/2018 03:50:01 PM,41.860805785,-87.702995965,"(41.860805785, -87.702995965)"
10232484,HY420311,09/12/2015 10:30:00 AM,026XX W CRYSTAL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1423,014,26,24,14,1158482,1908221,2015,09/24/2015 07:50:13 PM,41.90389992,-87.693296789,"(41.90389992, -87.693296789)"
