VendorID,calendar_todaytpep_pickup_datetime,calendar_todaytpep_dropoff_datetime,grid_3x3passenger_count,grid_3x3trip_distance,vpn_keyRatecodeID,checkstore_and_fwd_flag,vpn_keyPULocationID,vpn_keyDOLocationID,grid_3x3payment_type
1,01-01-19,01-01-19,1,1.5,1,N,151,239,1
1,01-01-19,01-01-19,1,2.6,1,N,239,246,1
2,21-12-18,21-12-18,3,0,1,N,236,236,1
2,28-11-18,28-11-18,5,0,1,N,193,193,2
2,28-11-18,28-11-18,5,0,2,N,193,193,2
2,28-11-18,28-11-18,5,0,1,N,193,193,2
2,28-11-18,28-11-18,5,0,2,N,193,193,2
1,01-01-19,01-01-19,1,1.3,1,N,163,229,1
