price,year,condition,cylinders,odometer,title_status,transmission,engine_size,hp,  diesel,  electric,  gas,  hybrid,  SUV,  coupe,  hatchback,  offroad,  pickup,  sedan,  black,  blue,  brown,  custom,  green,  grey,  orange,  purple,  red,  silver,  white,  yellow
8.935903526274423,2013,2,4.0,242.8991560298224,3,1,1.6,107,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9.159047077588632,2014,2,4.0,134.23859355639868,3,1,1.6,107,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.740336742730447,2014,2,4.0,223.60679774997897,3,1,1.6,107,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8.867850063029406,2015,2,4.0,216.79483388678798,2,1,1.6,107,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.209840246934501,2015,2,4.0,178.29750418892576,3,1,1.6,107,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.921991410536698,2015,2,4.0,192.35384061671346,3,1,1.6,107,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.2093398716426,2017,2,4.0,148.94965592440957,3,1,1.6,107,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9.2093398716426,2017,2,4.0,148.94965592440957,3,0,1.6,107,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.285169512596832,2017,2,4.0,186.50737250843463,3,1,1.6,107,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9.047233034106032,2017,2,4.0,160.77002208123255,3,0,1.6,107,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8.909235279192261,2017,2,4.0,111.35528725660043,3,0,1.6,107,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9.648272670221848,2020,3,4.0,76.05261336732617,3,1,1.6,122,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7.696212639346407,2002,1,4.0,361.93922141707714,3,0,1.8,129,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
