Rec	Cyc	Step	TestTime	StepTime	Amphr	Watthr	Amps	Volts	State	ACImpOhms
50	1	5	0d 00:47:0.00999999977648258	0d 00:46:0.00999999977648258	0.00038	0.00158	0.00050	4.12238	D	2.26676
51	1	5	0d 00:48:0.00999999977648258	0d 00:47:0.00999999977648258	0.00039	0.00162	0.00050	4.12207	D	2.26676
52	1	5	0d 00:49:0.00999999977648258	0d 00:48:0.00999999977648258	0.00040	0.00165	0.00050	4.12177	D	2.26676
53	1	5	0d 00:50:0.00999999977648258	0d 00:49:0.00999999977648258	0.00041	0.00169	0.00050	4.12139	D	2.26676
54	1	5	0d 00:51:0.00999999977648258	0d 00:50:0.00999999977648258	0.00042	0.00172	0.00050	4.12108	D	2.26676
55	1	5	0d 00:52:0.00999999977648258	0d 00:51:0.00999999977648258	0.00043	0.00176	0.00050	4.12055	D	2.26676
56	1	5	0d 00:53:0.00999999977648258	0d 00:52:0.00999999977648258	0.00043	0.00179	0.00050	4.12009	D	2.26676
57	1	5	0d 00:54:0.00999999977648258	0d 00:53:0.00999999977648258	0.00044	0.00182	0.00050	4.11978	D	2.26676
58	1	5	0d 00:55:0.00999999977648258	0d 00:54:0.00999999977648258	0.00045	0.00186	0.00050	4.11955	D	2.26676
59	1	5	0d 00:56:0.00999999977648258	0d 00:55:0.00999999977648258	0.00046	0.00189	0.00050	4.11925	D	2.26676
60	1	5	0d 00:57:0.00999999977648258	0d 00:56:0.00999999977648258	0.00047	0.00193	0.00050	4.11872	D	2.26676
61	1	5	0d 00:58:0.00999999977648258	0d 00:57:0.00999999977648258	0.00048	0.00196	0.00050	4.11833	D	2.26676
62	1	5	0d 00:59:0.00999999977648258	0d 00:58:0.00999999977648258	0.00048	0.00200	0.00050	4.11780	D	2.26676
63	1	5	0d 01:00:0.00999999977648258	0d 00:59:0.00999999977648258	0.00049	0.00203	0.00050	4.11757	D	2.26676
64	1	5	0d 01:01:0.00999999977648258	0d 01:00:0.00999999977648258	0.00050	0.00206	0.00050	4.11711	D	2.26676
65	1	5	0d 01:02:0.00999999977648258	0d 01:01:0.00999999977648258	0.00051	0.00210	0.00050	4.11681	D	2.26676
66	1	5	0d 01:03:0.00999999977648258	0d 01:02:0.00999999977648258	0.00052	0.00213	0.00050	4.11643	D	2.26676
67	1	5	0d 01:04:0.00999999977648258	0d 01:03:0.00999999977648258	0.00053	0.00217	0.00050	4.11612	D	2.26676
68	1	5	0d 01:05:0.00999999977648258	0d 01:04:0.00999999977648258	0.00053	0.00220	0.00050	4.11566	D	2.26676
69	1	5	0d 01:06:0.00999999977648258	0d 01:05:0.00999999977648258	0.00054	0.00224	0.00050	4.11521	D	2.26676
70	1	5	0d 01:07:0.00999999977648258	0d 01:06:0.00999999977648258	0.00055	0.00227	0.00050	4.11498	D	2.26676
71	1	5	0d 01:08:0.00999999977648258	0d 01:07:0.00999999977648258	0.00056	0.00230	0.00050	4.11452	D	2.26676
72	1	5	0d 01:09:0.00999999977648258	0d 01:08:0.00999999977648258	0.00057	0.00234	0.00050	4.11429	D	2.26676
73	1	5	0d 01:10:0.00999999977648258	0d 01:09:0.00999999977648258	0.00058	0.00237	0.00050	4.11376	D	2.26676
74	1	5	0d 01:11:0.00999999977648258	0d 01:10:0.00999999977648258	0.00058	0.00241	0.00050	4.11345	D	2.26676
75	1	5	0d 01:12:0.00999999977648258	0d 01:11:0.00999999977648258	0.00059	0.00244	0.00050	4.11299	D	2.26676
76	1	5	0d 01:13:0.00999999977648258	0d 01:12:0.00999999977648258	0.00060	0.00248	0.00050	4.11261	D	2.26676
77	1	5	0d 01:14:0.00999999977648258	0d 01:13:0.00999999977648258	0.00061	0.00251	0.00050	4.11223	D	2.26676
78	1	5	0d 01:15:0.00999999977648258	0d 01:14:0.00999999977648258	0.00062	0.00254	0.00050	4.11192	D	2.26676
79	1	5	0d 01:16:0.00999999977648258	0d 01:15:0.00999999977648258	0.00063	0.00258	0.00050	4.11162	D	2.26676
80	1	5	0d 01:17:0.00999999977648258	0d 01:16:0.00999999977648258	0.00063	0.00261	0.00050	4.11109	D	2.26676
81	1	5	0d 01:18:0.00999999977648258	0d 01:17:0.00999999977648258	0.00064	0.00265	0.00050	4.11078	D	2.26676
82	1	5	0d 01:19:0.00999999977648258	0d 01:18:0.00999999977648258	0.00065	0.00268	0.00050	4.11032	D	2.26676
83	1	5	0d 01:20:0.00999999977648258	0d 01:19:0.00999999977648258	0.00066	0.00272	0.00050	4.10994	D	2.26676
84	1	5	0d 01:21:0.00999999977648258	0d 01:20:0.00999999977648258	0.00067	0.00275	0.00050	4.10964	D	2.26676
85	1	5	0d 01:22:0.00999999977648258	0d 01:21:0.00999999977648258	0.00068	0.00278	0.00050	4.10933	D	2.26676
86	1	5	0d 01:23:0.00999999977648258	0d 01:22:0.00999999977648258	0.00068	0.00282	0.00050	4.10895	D	2.26676
87	1	5	0d 01:24:0.00999999977648258	0d 01:23:0.00999999977648258	0.00069	0.00285	0.00050	4.10857	D	2.26676
88	1	5	0d 01:25:0.00999999977648258	0d 01:24:0.00999999977648258	0.00070	0.00289	0.00050	4.10826	D	2.26676
89	1	5	0d 01:26:0.00999999977648258	0d 01:25:0.00999999977648258	0.00071	0.00292	0.00050	4.10780	D	2.26676
90	1	5	0d 01:27:0.00999999977648258	0d 01:26:0.00999999977648258	0.00072	0.00296	0.00050	4.10735	D	2.26676
91	1	5	0d 01:28:0.00999999977648258	0d 01:27:0.00999999977648258	0.00073	0.00299	0.00050	4.10704	D	2.26676
92	1	5	0d 01:29:0.00999999977648258	0d 01:28:0.00999999977648258	0.00073	0.00302	0.00050	4.10674	D	2.26676
93	1	5	0d 01:30:0.00999999977648258	0d 01:29:0.00999999977648258	0.00074	0.00306	0.00050	4.10636	D	2.26676
94	1	5	0d 01:31:0.00999999977648258	0d 01:30:0.00999999977648258	0.00075	0.00309	0.00050	4.10582	D	2.26676
95	1	5	0d 01:32:0.00999999977648258	0d 01:31:0.00999999977648258	0.00076	0.00313	0.00050	4.10559	D	2.26676
96	1	5	0d 01:33:0.00999999977648258	0d 01:32:0.00999999977648258	0.00077	0.00316	0.00050	4.10513	D	2.26676
97	1	5	0d 01:34:0.00999999977648258	0d 01:33:0.00999999977648258	0.00078	0.00320	0.00050	4.10483	D	2.26676
98	1	5	0d 01:35:0.00999999977648258	0d 01:34:0.00999999977648258	0.00078	0.00323	0.00050	4.10452	D	2.26676
99	1	5	0d 01:36:0.00999999977648258	0d 01:35:0.00999999977648258	0.00079	0.00326	0.00050	4.10399	D	2.26676
100	1	5	0d 01:37:0.00999999977648258	0d 01:36:0.00999999977648258	0.00080	0.00330	0.00050	4.10384	D	2.26676
101	1	5	0d 01:38:0.00999999977648258	0d 01:37:0.00999999977648258	0.00081	0.00333	0.00050	4.10338	D	2.26676
102	1	5	0d 01:39:0.00999999977648258	0d 01:38:0.00999999977648258	0.00082	0.00337	0.00050	4.10292	D	2.26676
103	1	5	0d 01:40:0.00999999977648258	0d 01:39:0.00999999977648258	0.00083	0.00340	0.00050	4.10269	D	2.26676
104	1	5	0d 01:41:0.00999999977648258	0d 01:40:0.00999999977648258	0.00083	0.00343	0.00050	4.10216	D	2.26676
105	1	5	0d 01:42:0.00999999977648258	0d 01:41:0.00999999977648258	0.00084	0.00347	0.00050	4.10193	D	2.26676
106	1	5	0d 01:43:0.00999999977648258	0d 01:42:0.00999999977648258	0.00085	0.00350	0.00050	4.10147	D	2.26676
107	1	5	0d 01:44:0.00999999977648258	0d 01:43:0.00999999977648258	0.00086	0.00354	0.00050	4.10101	D	2.26676
108	1	5	0d 01:45:0.00999999977648258	0d 01:44:0.00999999977648258	0.00087	0.00357	0.00050	4.10071	D	2.26676
109	1	5	0d 01:46:0.00999999977648258	0d 01:45:0.00999999977648258	0.00088	0.00361	0.00050	4.10048	D	2.26676
110	1	5	0d 01:47:0.00999999977648258	0d 01:46:0.00999999977648258	0.00088	0.00364	0.00050	4.10010	D	2.26676
111	1	5	0d 01:48:0.00999999977648258	0d 01:47:0.00999999977648258	0.00089	0.00367	0.00050	4.09972	D	2.26676
112	1	5	0d 01:49:0.00999999977648258	0d 01:48:0.00999999977648258	0.00090	0.00371	0.00050	4.09934	D	2.26676
113	1	5	0d 01:50:0.00999999977648258	0d 01:49:0.00999999977648258	0.00091	0.00374	0.00050	4.09880	D	2.26676
114	1	5	0d 01:51:0.00999999977648258	0d 01:50:0.00999999977648258	0.00092	0.00378	0.00050	4.09850	D	2.26676
115	1	5	0d 01:52:0.00999999977648258	0d 01:51:0.00999999977648258	0.00093	0.00381	0.00050	4.09812	D	2.26676
116	1	5	0d 01:53:0.00999999977648258	0d 01:52:0.00999999977648258	0.00093	0.00384	0.00050	4.09773	D	2.26676
117	1	5	0d 01:54:0.00999999977648258	0d 01:53:0.00999999977648258	0.00094	0.00388	0.00050	4.09743	D	2.26676
118	1	5	0d 01:55:0.00999999977648258	0d 01:54:0.00999999977648258	0.00095	0.00391	0.00050	4.09712	D	2.26676
119	1	5	0d 01:56:0.00999999977648258	0d 01:55:0.00999999977648258	0.00096	0.00395	0.00050	4.09674	D	2.26676
120	1	5	0d 01:57:0.00999999977648258	0d 01:56:0.00999999977648258	0.00097	0.00398	0.00050	4.09636	D	2.26676
121	1	5	0d 01:58:0.00999999977648258	0d 01:57:0.00999999977648258	0.00098	0.00402	0.00050	4.09598	D	2.26676
