Rec	Cyc	Step	TestTime	StepTime	Amphr	Watthr	Amps	Volts	State	ACImpOhms
429	1	5	0d 07:06:0.00999999977648258	0d 07:05:0.00999999977648258	0.00354	0.01439	0.00050	3.99207	D	2.26676
430	1	5	0d 07:07:0.00999999977648258	0d 07:06:0.00999999977648258	0.00355	0.01442	0.00050	3.99176	D	2.26676
431	1	5	0d 07:08:0.00999999977648258	0d 07:07:0.00999999977648258	0.00356	0.01446	0.00050	3.99145	D	2.26676
432	1	5	0d 07:09:0.00999999977648258	0d 07:08:0.00999999977648258	0.00357	0.01449	0.00050	3.99107	D	2.26676
433	1	5	0d 07:10:0.00999999977648258	0d 07:09:0.00999999977648258	0.00358	0.01452	0.00050	3.99077	D	2.26676
434	1	5	0d 07:11:0.00999999977648258	0d 07:10:0.00999999977648258	0.00358	0.01456	0.00050	3.99046	D	2.26676
435	1	5	0d 07:12:0.00999999977648258	0d 07:11:0.00999999977648258	0.00359	0.01459	0.00050	3.99016	D	2.26676
436	1	5	0d 07:13:0.00999999977648258	0d 07:12:0.00999999977648258	0.00360	0.01462	0.00050	3.98993	D	2.26676
437	1	5	0d 07:14:0.00999999977648258	0d 07:13:0.00999999977648258	0.00361	0.01466	0.00050	3.98955	D	2.26676
438	1	5	0d 07:15:0.00999999977648258	0d 07:14:0.00999999977648258	0.00362	0.01469	0.00050	3.98924	D	2.26676
439	1	5	0d 07:16:0.00999999977648258	0d 07:15:0.00999999977648258	0.00363	0.01472	0.00050	3.98894	D	2.26676
440	1	5	0d 07:17:0.00999999977648258	0d 07:16:0.00999999977648258	0.00363	0.01476	0.00050	3.98863	D	2.26676
441	1	5	0d 07:18:0.00999999977648258	0d 07:17:0.00999999977648258	0.00364	0.01479	0.00050	3.98825	D	2.26676
442	1	5	0d 07:19:0.00999999977648258	0d 07:18:0.00999999977648258	0.00365	0.01482	0.00050	3.98802	D	2.26676
443	1	5	0d 07:20:0.00999999977648258	0d 07:19:0.00999999977648258	0.00366	0.01486	0.00050	3.98772	D	2.26676
444	1	5	0d 07:21:0.00999999977648258	0d 07:20:0.00999999977648258	0.00367	0.01489	0.00050	3.98734	D	2.26676
445	1	5	0d 07:22:0.00999999977648258	0d 07:21:0.00999999977648258	0.00368	0.01492	0.00050	3.98718	D	2.26676
446	1	5	0d 07:23:0.00999999977648258	0d 07:22:0.00999999977648258	0.00368	0.01496	0.00050	3.98688	D	2.26676
447	1	5	0d 07:24:0.00999999977648258	0d 07:23:0.00999999977648258	0.00369	0.01499	0.00050	3.98642	D	2.26676
448	1	5	0d 07:25:0.00999999977648258	0d 07:24:0.00999999977648258	0.00370	0.01502	0.00050	3.98619	D	2.26676
449	1	5	0d 07:26:0.00999999977648258	0d 07:25:0.00999999977648258	0.00371	0.01506	0.00050	3.98589	D	2.26676
450	1	5	0d 07:27:0.00999999977648258	0d 07:26:0.00999999977648258	0.00372	0.01509	0.00050	3.98566	D	2.26676
451	1	5	0d 07:28:0.00999999977648258	0d 07:27:0.00999999977648258	0.00373	0.01512	0.00050	3.98535	D	2.26676
452	1	5	0d 07:29:0.00999999977648258	0d 07:28:0.00999999977648258	0.00373	0.01516	0.00050	3.98497	D	2.26676
453	1	5	0d 07:30:0.00999999977648258	0d 07:29:0.00999999977648258	0.00374	0.01519	0.00050	3.98459	D	2.26676
454	1	5	0d 07:31:0.00999999977648258	0d 07:30:0.00999999977648258	0.00375	0.01522	0.00050	3.98428	D	2.26676
455	1	5	0d 07:32:0.00999999977648258	0d 07:31:0.00999999977648258	0.00376	0.01526	0.00050	3.98398	D	2.26676
456	1	5	0d 07:33:0.00999999977648258	0d 07:32:0.00999999977648258	0.00377	0.01529	0.00050	3.98367	D	2.26676
457	1	5	0d 07:34:0.00999999977648258	0d 07:33:0.00999999977648258	0.00378	0.01532	0.00050	3.98337	D	2.26676
458	1	5	0d 07:35:0.00999999977648258	0d 07:34:0.00999999977648258	0.00378	0.01536	0.00050	3.98306	D	2.26676
459	1	5	0d 07:36:0.00999999977648258	0d 07:35:0.00999999977648258	0.00379	0.01539	0.00050	3.98283	D	2.26676
460	1	5	0d 07:37:0.00999999977648258	0d 07:36:0.00999999977648258	0.00380	0.01542	0.00050	3.98253	D	2.26676
461	1	5	0d 07:38:0.00999999977648258	0d 07:37:0.00999999977648258	0.00381	0.01545	0.00050	3.98215	D	2.26676
462	1	5	0d 07:39:0.00999999977648258	0d 07:38:0.00999999977648258	0.00382	0.01549	0.00050	3.98192	D	2.26676
463	1	5	0d 07:40:0.00999999977648258	0d 07:39:0.00999999977648258	0.00383	0.01552	0.00050	3.98154	D	2.26676
464	1	5	0d 07:41:0.00999999977648258	0d 07:40:0.00999999977648258	0.00383	0.01555	0.00050	3.98123	D	2.26676
465	1	5	0d 07:42:0.00999999977648258	0d 07:41:0.00999999977648258	0.00384	0.01559	0.00050	3.98093	D	2.26676
466	1	5	0d 07:43:0.00999999977648258	0d 07:42:0.00999999977648258	0.00385	0.01562	0.00050	3.98070	D	2.26676
467	1	5	0d 07:44:0.00999999977648258	0d 07:43:0.00999999977648258	0.00386	0.01565	0.00050	3.98039	D	2.26676
468	1	5	0d 07:45:0.00999999977648258	0d 07:44:0.00999999977648258	0.00387	0.01569	0.00050	3.98009	D	2.26676
469	1	5	0d 07:46:0.00999999977648258	0d 07:45:0.00999999977648258	0.00388	0.01572	0.00050	3.97948	D	2.26676
470	1	5	0d 07:47:0.00999999977648258	0d 07:46:0.00999999977648258	0.00388	0.01575	0.00050	3.97932	D	2.26676
471	1	5	0d 07:48:0.00999999977648258	0d 07:47:0.00999999977648258	0.00389	0.01579	0.00050	3.97902	D	2.26676
472	1	5	0d 07:49:0.00999999977648258	0d 07:48:0.00999999977648258	0.00390	0.01582	0.00050	3.97879	D	2.26676
473	1	5	0d 07:50:0.00999999977648258	0d 07:49:0.00999999977648258	0.00391	0.01585	0.00050	3.97848	D	2.26676
474	1	5	0d 07:51:0.00999999977648258	0d 07:50:0.00999999977648258	0.00392	0.01589	0.00050	3.97810	D	2.26676
475	1	5	0d 07:52:0.00999999977648258	0d 07:51:0.00999999977648258	0.00393	0.01592	0.00050	3.97765	D	2.26676
476	1	5	0d 07:53:0.00999999977648258	0d 07:52:0.00999999977648258	0.00393	0.01595	0.00050	3.97719	D	2.26676
477	1	5	0d 07:54:0.00999999977648258	0d 07:53:0.00999999977648258	0.00394	0.01599	0.00050	3.97688	D	2.26676
478	1	5	0d 07:55:0.00999999977648258	0d 07:54:0.00999999977648258	0.00395	0.01602	0.00050	3.97650	D	2.26676
479	1	5	0d 07:56:0.00999999977648258	0d 07:55:0.00999999977648258	0.00396	0.01605	0.00050	3.97612	D	2.26676
480	1	5	0d 07:57:0.00999999977648258	0d 07:56:0.00999999977648258	0.00397	0.01608	0.00050	3.97597	D	2.26676
481	1	5	0d 07:58:0.00999999977648258	0d 07:57:0.00999999977648258	0.00398	0.01612	0.00050	3.97574	D	2.26676
482	1	5	0d 07:59:0.00999999977648258	0d 07:58:0.00999999977648258	0.00398	0.01615	0.00050	3.97551	D	2.26676
483	1	5	0d 08:00:0.00999999977648258	0d 07:59:0.00999999977648258	0.00399	0.01618	0.00050	3.97505	D	2.26676
484	1	5	0d 08:01:0.00999999977648258	0d 08:00:0.00999999977648258	0.00400	0.01622	0.00050	3.97467	D	2.26676
485	1	5	0d 08:02:0.00999999977648258	0d 08:01:0.00999999977648258	0.00401	0.01625	0.00050	3.97429	D	2.26676
486	1	5	0d 08:03:0.00999999977648258	0d 08:02:0.00999999977648258	0.00402	0.01628	0.00050	3.97391	D	2.26676
487	1	5	0d 08:04:0.00999999977648258	0d 08:03:0.00999999977648258	0.00403	0.01632	0.00050	3.97368	D	2.26676
488	1	5	0d 08:05:0.00999999977648258	0d 08:04:0.00999999977648258	0.00403	0.01635	0.00050	3.97322	D	2.26676
489	1	5	0d 08:06:0.00999999977648258	0d 08:05:0.00999999977648258	0.00404	0.01638	0.00050	3.97307	D	2.26676
490	1	5	0d 08:07:0.00999999977648258	0d 08:06:0.00999999977648258	0.00405	0.01642	0.00050	3.97269	D	2.26676
491	1	5	0d 08:08:0.00999999977648258	0d 08:07:0.00999999977648258	0.00406	0.01645	0.00050	3.97253	D	2.26676
492	1	5	0d 08:09:0.00999999977648258	0d 08:08:0.00999999977648258	0.00407	0.01648	0.00050	3.97215	D	2.26676
493	1	5	0d 08:10:0.00999999977648258	0d 08:09:0.00999999977648258	0.00408	0.01652	0.00050	3.97185	D	2.26676
494	1	5	0d 08:11:0.00999999977648258	0d 08:10:0.00999999977648258	0.00408	0.01655	0.00050	3.97154	D	2.26676
495	1	5	0d 08:12:0.00999999977648258	0d 08:11:0.00999999977648258	0.00409	0.01658	0.00050	3.97108	D	2.26676
496	1	5	0d 08:13:0.00999999977648258	0d 08:12:0.00999999977648258	0.00410	0.01661	0.00050	3.97086	D	2.26676
497	1	5	0d 08:14:0.00999999977648258	0d 08:13:0.00999999977648258	0.00411	0.01665	0.00050	3.97032	D	2.26676
498	1	5	0d 08:15:0.00999999977648258	0d 08:14:0.00999999977648258	0.00412	0.01668	0.00050	3.97017	D	2.26676
499	1	5	0d 08:16:0.00999999977648258	0d 08:15:0.00999999977648258	0.00413	0.01671	0.00050	3.96979	D	2.26676
500	1	5	0d 08:17:0.00999999977648258	0d 08:16:0.00999999977648258	0.00413	0.01675	0.00050	3.96956	D	2.26676
501	1	5	0d 08:18:0.00999999977648258	0d 08:17:0.00999999977648258	0.00414	0.01678	0.00050	3.96925	D	2.26676
502	1	5	0d 08:19:0.00999999977648258	0d 08:18:0.00999999977648258	0.00415	0.01681	0.00050	3.96910	D	2.26676
503	1	5	0d 08:20:0.00999999977648258	0d 08:19:0.00999999977648258	0.00416	0.01685	0.00050	3.96880	D	2.26676
504	1	5	0d 08:21:0.00999999977648258	0d 08:20:0.00999999977648258	0.00417	0.01688	0.00050	3.96841	D	2.26676
505	1	5	0d 08:22:0.00999999977648258	0d 08:21:0.00999999977648258	0.00418	0.01691	0.00050	3.96826	D	2.26676
506	1	5	0d 08:23:0.00999999977648258	0d 08:22:0.00999999977648258	0.00418	0.01695	0.00050	3.96780	D	2.26676
507	1	5	0d 08:24:0.00999999977648258	0d 08:23:0.00999999977648258	0.00419	0.01698	0.00050	3.96735	D	2.26676
508	1	5	0d 08:25:0.00999999977648258	0d 08:24:0.00999999977648258	0.00420	0.01701	0.00050	3.96696	D	2.26676
509	1	5	0d 08:26:0.00999999977648258	0d 08:25:0.00999999977648258	0.00421	0.01704	0.00050	3.96658	D	2.26676
510	1	5	0d 08:27:0.00999999977648258	0d 08:26:0.00999999977648258	0.00422	0.01708	0.00050	3.96628	D	2.26676
511	1	5	0d 08:28:0.00999999977648258	0d 08:27:0.00999999977648258	0.00423	0.01711	0.00050	3.96612	D	2.26676
512	1	5	0d 08:29:0.00999999977648258	0d 08:28:0.00999999977648258	0.00423	0.01714	0.00050	3.96582	D	2.26676
513	1	5	0d 08:30:0.00999999977648258	0d 08:29:0.00999999977648258	0.00424	0.01718	0.00050	3.96551	D	2.26676
514	1	5	0d 08:31:0.00999999977648258	0d 08:30:0.00999999977648258	0.00425	0.01721	0.00050	3.96513	D	2.26676
515	1	5	0d 08:32:0.00999999977648258	0d 08:31:0.00999999977648258	0.00426	0.01724	0.00050	3.96490	D	2.26676
516	1	5	0d 08:33:0.00999999977648258	0d 08:32:0.00999999977648258	0.00427	0.01728	0.00050	3.96468	D	2.26676
517	1	5	0d 08:34:0.00999999977648258	0d 08:33:0.00999999977648258	0.00428	0.01731	0.00050	3.96437	D	2.26676
518	1	5	0d 08:35:0.00999999977648258	0d 08:34:0.00999999977648258	0.00428	0.01734	0.00050	3.96407	D	2.26676
519	1	5	0d 08:36:0.00999999977648258	0d 08:35:0.00999999977648258	0.00429	0.01738	0.00050	3.96368	D	2.26676
520	1	5	0d 08:37:0.00999999977648258	0d 08:36:0.00999999977648258	0.00430	0.01741	0.00050	3.96323	D	2.26676
521	1	5	0d 08:38:0.00999999977648258	0d 08:37:0.00999999977648258	0.00431	0.01744	0.00050	3.96284	D	2.26676
522	1	5	0d 08:39:0.00999999977648258	0d 08:38:0.00999999977648258	0.00432	0.01747	0.00050	3.96262	D	2.26676
523	1	5	0d 08:40:0.00999999977648258	0d 08:39:0.00999999977648258	0.00433	0.01751	0.00050	3.96231	D	2.26676
524	1	5	0d 08:41:0.00999999977648258	0d 08:40:0.00999999977648258	0.00433	0.01754	0.00050	3.96208	D	2.26676
525	1	5	0d 08:42:0.00999999977648258	0d 08:41:0.00999999977648258	0.00434	0.01757	0.00050	3.96185	D	2.26676
526	1	5	0d 08:43:0.00999999977648258	0d 08:42:0.00999999977648258	0.00435	0.01761	0.00050	3.96155	D	2.26676
527	1	5	0d 08:44:0.00999999977648258	0d 08:43:0.00999999977648258	0.00436	0.01764	0.00050	3.96109	D	2.26676
528	1	5	0d 08:45:0.00999999977648258	0d 08:44:0.00999999977648258	0.00437	0.01767	0.00050	3.96086	D	2.26676
529	1	5	0d 08:46:0.00999999977648258	0d 08:45:0.00999999977648258	0.00438	0.01771	0.00050	3.96063	D	2.26676
530	1	5	0d 08:47:0.00999999977648258	0d 08:46:0.00999999977648258	0.00438	0.01774	0.00050	3.96040	D	2.26676
531	1	5	0d 08:48:0.00999999977648258	0d 08:47:0.00999999977648258	0.00439	0.01777	0.00050	3.96002	D	2.26676
532	1	5	0d 08:49:0.00999999977648258	0d 08:48:0.00999999977648258	0.00440	0.01780	0.00050	3.95987	D	2.26676
533	1	5	0d 08:50:0.00999999977648258	0d 08:49:0.00999999977648258	0.00441	0.01784	0.00050	3.95941	D	2.26676
534	1	5	0d 08:51:0.00999999977648258	0d 08:50:0.00999999977648258	0.00442	0.01787	0.00050	3.95933	D	2.26676
535	1	5	0d 08:52:0.00999999977648258	0d 08:51:0.00999999977648258	0.00443	0.01790	0.00050	3.95888	D	2.26676
536	1	5	0d 08:53:0.00999999977648258	0d 08:52:0.00999999977648258	0.00443	0.01794	0.00050	3.95857	D	2.26676
537	1	5	0d 08:54:0.00999999977648258	0d 08:53:0.00999999977648258	0.00444	0.01797	0.00050	3.95827	D	2.26676
538	1	5	0d 08:55:0.00999999977648258	0d 08:54:0.00999999977648258	0.00445	0.01800	0.00050	3.95804	D	2.26676
539	1	5	0d 08:56:0.00999999977648258	0d 08:55:0.00999999977648258	0.00446	0.01804	0.00050	3.95766	D	2.26676
540	1	5	0d 08:57:0.00999999977648258	0d 08:56:0.00999999977648258	0.00447	0.01807	0.00050	3.95743	D	2.26676
541	1	5	0d 08:58:0.00999999977648258	0d 08:57:0.00999999977648258	0.00448	0.01810	0.00050	3.95712	D	2.26676
542	1	5	0d 08:59:0.00999999977648258	0d 08:58:0.00999999977648258	0.00448	0.01813	0.00050	3.95682	D	2.26676
543	1	5	0d 09:00:0.00999999977648258	0d 08:59:0.00999999977648258	0.00449	0.01817	0.00050	3.95666	D	2.26676
544	1	5	0d 09:01:0.00999999977648258	0d 09:00:0.00999999977648258	0.00450	0.01820	0.00050	3.95628	D	2.26676
545	1	5	0d 09:02:0.00999999977648258	0d 09:01:0.00999999977648258	0.00451	0.01823	0.00050	3.95583	D	2.26676
546	1	5	0d 09:03:0.00999999977648258	0d 09:02:0.00999999977648258	0.00452	0.01827	0.00050	3.95552	D	2.26676
547	1	5	0d 09:04:0.00999999977648258	0d 09:03:0.00999999977648258	0.00453	0.01830	0.00050	3.95529	D	2.26676
548	1	5	0d 09:05:0.00999999977648258	0d 09:04:0.00999999977648258	0.00453	0.01833	0.00050	3.95499	D	2.26676
549	1	5	0d 09:06:0.00999999977648258	0d 09:05:0.00999999977648258	0.00454	0.01836	0.00050	3.95460	D	2.26676
550	1	5	0d 09:07:0.00999999977648258	0d 09:06:0.00999999977648258	0.00455	0.01840	0.00050	3.95445	D	2.26676
551	1	5	0d 09:08:0.00999999977648258	0d 09:07:0.00999999977648258	0.00456	0.01843	0.00050	3.95399	D	2.26676
552	1	5	0d 09:09:0.00999999977648258	0d 09:08:0.00999999977648258	0.00457	0.01846	0.00050	3.95377	D	2.26676
553	1	5	0d 09:10:0.00999999977648258	0d 09:09:0.00999999977648258	0.00458	0.01850	0.00050	3.95338	D	2.26676
554	1	5	0d 09:11:0.00999999977648258	0d 09:10:0.00999999977648258	0.00458	0.01853	0.00050	3.95308	D	2.26676
555	1	5	0d 09:12:0.00999999977648258	0d 09:11:0.00999999977648258	0.00459	0.01856	0.00050	3.95285	D	2.26676
556	1	5	0d 09:13:0.00999999977648258	0d 09:12:0.00999999977648258	0.00460	0.01860	0.00050	3.95262	D	2.26676
557	1	5	0d 09:14:0.00999999977648258	0d 09:13:0.00999999977648258	0.00461	0.01863	0.00050	3.95216	D	2.26676
558	1	5	0d 09:15:0.00999999977648258	0d 09:14:0.00999999977648258	0.00462	0.01866	0.00050	3.95178	D	2.26676
559	1	5	0d 09:16:0.00999999977648258	0d 09:15:0.00999999977648258	0.00463	0.01869	0.00050	3.95155	D	2.26676
560	1	5	0d 09:17:0.00999999977648258	0d 09:16:0.00999999977648258	0.00463	0.01873	0.00050	3.95117	D	2.26676
561	1	5	0d 09:18:0.00999999977648258	0d 09:17:0.00999999977648258	0.00464	0.01876	0.00050	3.95094	D	2.26676
562	1	5	0d 09:19:0.00999999977648258	0d 09:18:0.00999999977648258	0.00465	0.01879	0.00050	3.95064	D	2.26676
563	1	5	0d 09:20:0.00999999977648258	0d 09:19:0.00999999977648258	0.00466	0.01883	0.00050	3.95041	D	2.26676
564	1	5	0d 09:21:0.00999999977648258	0d 09:20:0.00999999977648258	0.00467	0.01886	0.00050	3.95003	D	2.26676
565	1	5	0d 09:22:0.00999999977648258	0d 09:21:0.00999999977648258	0.00468	0.01889	0.00050	3.94972	D	2.26676
566	1	5	0d 09:23:0.00999999977648258	0d 09:22:0.00999999977648258	0.00468	0.01892	0.00050	3.94942	D	2.26676
567	1	5	0d 09:24:0.00999999977648258	0d 09:23:0.00999999977648258	0.00469	0.01896	0.00050	3.94896	D	2.26676
568	1	5	0d 09:25:0.00999999977648258	0d 09:24:0.00999999977648258	0.00470	0.01899	0.00050	3.94858	D	2.26676
569	1	5	0d 09:26:0.00999999977648258	0d 09:25:0.00999999977648258	0.00471	0.01902	0.00050	3.94827	D	2.26676
570	1	5	0d 09:27:0.00999999977648258	0d 09:26:0.00999999977648258	0.00472	0.01906	0.00050	3.94797	D	2.26676
571	1	5	0d 09:28:0.00999999977648258	0d 09:27:0.00999999977648258	0.00473	0.01909	0.00050	3.94774	D	2.26676
572	1	5	0d 09:29:0.00999999977648258	0d 09:28:0.00999999977648258	0.00473	0.01912	0.00050	3.94736	D	2.26676
573	1	5	0d 09:30:0.00999999977648258	0d 09:29:0.00999999977648258	0.00474	0.01916	0.00050	3.94705	D	2.26676
574	1	5	0d 09:31:0.00999999977648258	0d 09:30:0.00999999977648258	0.00475	0.01919	0.00050	3.94652	D	2.26676
575	1	5	0d 09:32:0.00999999977648258	0d 09:31:0.00999999977648258	0.00476	0.01922	0.00050	3.94629	D	2.26676
576	1	5	0d 09:33:0.00999999977648258	0d 09:32:0.00999999977648258	0.00477	0.01925	0.00050	3.94598	D	2.26676
577	1	5	0d 09:34:0.00999999977648258	0d 09:33:0.00999999977648258	0.00478	0.01929	0.00050	3.94575	D	2.26676
578	1	5	0d 09:35:0.00999999977648258	0d 09:34:0.00999999977648258	0.00478	0.01932	0.00050	3.94537	D	2.26676
579	1	5	0d 09:36:0.00999999977648258	0d 09:35:0.00999999977648258	0.00479	0.01935	0.00050	3.94507	D	2.26676
580	1	5	0d 09:37:0.00999999977648258	0d 09:36:0.00999999977648258	0.00480	0.01939	0.00050	3.94453	D	2.26676
581	1	5	0d 09:38:0.00999999977648258	0d 09:37:0.00999999977648258	0.00481	0.01942	0.00050	3.94430	D	2.26676
582	1	5	0d 09:39:0.00999999977648258	0d 09:38:0.00999999977648258	0.00482	0.01945	0.00050	3.94400	D	2.26676
583	1	5	0d 09:40:0.00999999977648258	0d 09:39:0.00999999977648258	0.00483	0.01948	0.00050	3.94362	D	2.26676
584	1	5	0d 09:41:0.00999999977648258	0d 09:40:0.00999999977648258	0.00483	0.01952	0.00050	3.94339	D	2.26676
585	1	5	0d 09:42:0.00999999977648258	0d 09:41:0.00999999977648258	0.00484	0.01955	0.00050	3.94301	D	2.26676
586	1	5	0d 09:43:0.00999999977648258	0d 09:42:0.00999999977648258	0.00485	0.01958	0.00050	3.94270	D	2.26676
587	1	5	0d 09:44:0.00999999977648258	0d 09:43:0.00999999977648258	0.00486	0.01962	0.00050	3.94240	D	2.26676
588	1	5	0d 09:45:0.00999999977648258	0d 09:44:0.00999999977648258	0.00487	0.01965	0.00050	3.94202	D	2.26676
589	1	5	0d 09:46:0.00999999977648258	0d 09:45:0.00999999977648258	0.00488	0.01968	0.00050	3.94163	D	2.26676
590	1	5	0d 09:47:0.00999999977648258	0d 09:46:0.00999999977648258	0.00488	0.01971	0.00050	3.94141	D	2.26676
591	1	5	0d 09:48:0.00999999977648258	0d 09:47:0.00999999977648258	0.00489	0.01975	0.00050	3.94102	D	2.26676
592	1	5	0d 09:49:0.00999999977648258	0d 09:48:0.00999999977648258	0.00490	0.01978	0.00050	3.94064	D	2.26676
593	1	5	0d 09:50:0.00999999977648258	0d 09:49:0.00999999977648258	0.00491	0.01981	0.00050	3.94034	D	2.26676
594	1	5	0d 09:51:0.00999999977648258	0d 09:50:0.00999999977648258	0.00492	0.01985	0.00050	3.94003	D	2.26676
595	1	5	0d 09:52:0.00999999977648258	0d 09:51:0.00999999977648258	0.00493	0.01988	0.00050	3.93965	D	2.26676
596	1	5	0d 09:53:0.00999999977648258	0d 09:52:0.00999999977648258	0.00493	0.01991	0.00050	3.93927	D	2.26676
597	1	5	0d 09:54:0.00999999977648258	0d 09:53:0.00999999977648258	0.00494	0.01994	0.00050	3.93896	D	2.26676
598	1	5	0d 09:55:0.00999999977648258	0d 09:54:0.00999999977648258	0.00495	0.01998	0.00050	3.93866	D	2.26676
599	1	5	0d 09:56:0.00999999977648258	0d 09:55:0.00999999977648258	0.00496	0.02001	0.00050	3.93820	D	2.26676
600	1	5	0d 09:57:0.00999999977648258	0d 09:56:0.00999999977648258	0.00497	0.02004	0.00050	3.93782	D	2.26676
601	1	5	0d 09:58:0.00999999977648258	0d 09:57:0.00999999977648258	0.00498	0.02007	0.00050	3.93759	D	2.26676
602	1	5	0d 09:59:0.00999999977648258	0d 09:58:0.00999999977648258	0.00498	0.02011	0.00050	3.93721	D	2.26676
603	1	5	0d 10:00:0.00999999977648258	0d 09:59:0.00999999977648258	0.00499	0.02014	0.00050	3.93683	D	2.26676
604	1	5	0d 10:01:0.00999999977648258	0d 10:00:0.00999999977648258	0.00500	0.02017	0.00050	3.93645	D	2.26676
605	1	5	0d 10:02:0.00999999977648258	0d 10:01:0.00999999977648258	0.00501	0.02021	0.00050	3.93622	D	2.26676
606	1	5	0d 10:03:0.00999999977648258	0d 10:02:0.00999999977648258	0.00502	0.02024	0.00050	3.93591	D	2.26676
607	1	5	0d 10:04:0.00999999977648258	0d 10:03:0.00999999977648258	0.00503	0.02027	0.00050	3.93545	D	2.26676
608	1	5	0d 10:05:0.00999999977648258	0d 10:04:0.00999999977648258	0.00503	0.02030	0.00050	3.93515	D	2.26676
609	1	5	0d 10:06:0.00999999977648258	0d 10:05:0.00999999977648258	0.00504	0.02034	0.00050	3.93462	D	2.26676
610	1	5	0d 10:07:0.00999999977648258	0d 10:06:0.00999999977648258	0.00505	0.02037	0.00050	3.93439	D	2.26676
611	1	5	0d 10:08:0.00999999977648258	0d 10:07:0.00999999977648258	0.00506	0.02040	0.00050	3.93400	D	2.26676
612	1	5	0d 10:09:0.00999999977648258	0d 10:08:0.00999999977648258	0.00507	0.02044	0.00050	3.93370	D	2.26676
613	1	5	0d 10:10:0.00999999977648258	0d 10:09:0.00999999977648258	0.00508	0.02047	0.00050	3.93339	D	2.26676
614	1	5	0d 10:11:0.00999999977648258	0d 10:10:0.00999999977648258	0.00508	0.02050	0.00050	3.93301	D	2.26676
615	1	5	0d 10:12:0.00999999977648258	0d 10:11:0.00999999977648258	0.00509	0.02053	0.00050	3.93271	D	2.26676
616	1	5	0d 10:13:0.00999999977648258	0d 10:12:0.00999999977648258	0.00510	0.02057	0.00050	3.93233	D	2.26676
617	1	5	0d 10:14:0.00999999977648258	0d 10:13:0.00999999977648258	0.00511	0.02060	0.00050	3.93187	D	2.26676
618	1	5	0d 10:15:0.00999999977648258	0d 10:14:0.00999999977648258	0.00512	0.02063	0.00050	3.93149	D	2.26676
619	1	5	0d 10:16:0.00999999977648258	0d 10:15:0.00999999977648258	0.00513	0.02067	0.00050	3.93133	D	2.26676
620	1	5	0d 10:17:0.00999999977648258	0d 10:16:0.00999999977648258	0.00513	0.02070	0.00050	3.93095	D	2.26676
621	1	5	0d 10:18:0.00999999977648258	0d 10:17:0.00999999977648258	0.00514	0.02073	0.00050	3.93042	D	2.26676
622	1	5	0d 10:19:0.00999999977648258	0d 10:18:0.00999999977648258	0.00515	0.02076	0.00050	3.93011	D	2.26676
623	1	5	0d 10:20:0.00999999977648258	0d 10:19:0.00999999977648258	0.00516	0.02080	0.00050	3.92981	D	2.26676
624	1	5	0d 10:21:0.00999999977648258	0d 10:20:0.00999999977648258	0.00517	0.02083	0.00050	3.92943	D	2.26676
625	1	5	0d 10:22:0.00999999977648258	0d 10:21:0.00999999977648258	0.00518	0.02086	0.00050	3.92905	D	2.26676
626	1	5	0d 10:23:0.00999999977648258	0d 10:22:0.00999999977648258	0.00518	0.02089	0.00050	3.92859	D	2.26676
627	1	5	0d 10:24:0.00999999977648258	0d 10:23:0.00999999977648258	0.00519	0.02093	0.00050	3.92813	D	2.26676
628	1	5	0d 10:25:0.00999999977648258	0d 10:24:0.00999999977648258	0.00520	0.02096	0.00050	3.92790	D	2.26676
629	1	5	0d 10:26:0.00999999977648258	0d 10:25:0.00999999977648258	0.00521	0.02099	0.00050	3.92752	D	2.26676
630	1	5	0d 10:27:0.00999999977648258	0d 10:26:0.00999999977648258	0.00522	0.02103	0.00050	3.92714	D	2.26676
631	1	5	0d 10:28:0.00999999977648258	0d 10:27:0.00999999977648258	0.00523	0.02106	0.00050	3.92683	D	2.26676
632	1	5	0d 10:29:0.00999999977648258	0d 10:28:0.00999999977648258	0.00523	0.02109	0.00050	3.92653	D	2.26676
633	1	5	0d 10:30:0.00999999977648258	0d 10:29:0.00999999977648258	0.00524	0.02112	0.00050	3.92615	D	2.26676
634	1	5	0d 10:31:0.00999999977648258	0d 10:30:0.00999999977648258	0.00525	0.02116	0.00050	3.92561	D	2.26676
635	1	5	0d 10:32:0.00999999977648258	0d 10:31:0.00999999977648258	0.00526	0.02119	0.00050	3.92538	D	2.26676
636	1	5	0d 10:33:0.00999999977648258	0d 10:32:0.00999999977648258	0.00527	0.02122	0.00050	3.92493	D	2.26676
637	1	5	0d 10:34:0.00999999977648258	0d 10:33:0.00999999977648258	0.00528	0.02125	0.00050	3.92439	D	2.26676
638	1	5	0d 10:35:0.00999999977648258	0d 10:34:0.00999999977648258	0.00528	0.02129	0.00050	3.92409	D	2.26676
639	1	5	0d 10:36:0.00999999977648258	0d 10:35:0.00999999977648258	0.00529	0.02132	0.00050	3.92370	D	2.26676
640	1	5	0d 10:37:0.00999999977648258	0d 10:36:0.00999999977648258	0.00530	0.02135	0.00050	3.92332	D	2.26676
641	1	5	0d 10:38:0.00999999977648258	0d 10:37:0.00999999977648258	0.00531	0.02139	0.00050	3.92309	D	2.26676
642	1	5	0d 10:39:0.00999999977648258	0d 10:38:0.00999999977648258	0.00532	0.02142	0.00050	3.92271	D	2.26676
